specialization, responsibilities, requirements, terms, skills, notes
Каменщик,"Приготовление растворов из сухих строительных смесей на цементной, гипсовой и других основах; Возводить на одного-двух высотных этажей малые и средние здания; Кладка кирпичей, блоков, пеноблоков, камней и т.д.; Грубая отделка зданий.","Образование среднее специальное; Опыт работы от 1 года; Знание технологии отделочных работ; Знание видов и свойств отделочных материалов; Аккуратность, порядочность, исполнительность; Добросовестное отношение к работе.","Место работы г. Нижний Новгород ЖК Смарт-Сити; Иногородним предоставляется общежитие; Заработная выплачивается 2 раза в месяц, вовремя. Оплата согласно расценок по объему выполненных работ, высокая",Трудолюбие и исполнительность.,-
Маляр-штукатур,"Приготовление растворов из сухих строительных смесей на цементной, гипсовой и других основах;Сплошное выравнивание поверхностей;Оконопачивание коробок и мест примыканий крупнопанельных перегородок;Механизированное нанесение раствора на стены и иные поверхности, выполнение финишной штукатурной отделки;Грунтование поверхностей кистями, валиками, краскопультами с ручным приводом, механизированным инструментом и агрегатами высокого давления;Необходимо следить за сохранностью покрасочных материалов и инструментов, не допускать повышенного расхода, самостоятельно осуществлять переноску материалов и инструментов на объекте.","Образование среднее специальное; Опыт работы от 1 года; Знание технологии отделочных работ; Знание видов и свойств отделочных материалов; Аккуратность, порядочность, исполнительность; Добросовестное отношение к работе.","Место работы г. Нижний Новгород ЖК Смарт-Сити; Иногородним предоставляется общежитие; Заработная выплачивается 2 раза в месяц, вовремя. Оплата согласно расценок по объему выполненных работ, высокая",Трудолюбие и исполнительность.,-
Монтажник-сантехник,"Монтаж и ремонт систем водоснабжения, канализации, отопления и вентиляции; Установка сантехнических приборов и оборудования; Установка, замена, ремонт и обслуживание трубопроводов, радиаторов и котлов; Изучение и анализ схем и чертежей; Работа с инструментами и приспособлениями.","Образование среднее специальное; Опыт работы от 1 года; Знание технологии монтажа и ремонта систем водоснабжения, канализации, отопления и вентиляции; Знание технологии установки сантехнических приборов и оборудования; Знание схем и чертежей; Аккуратность, порядочность, исполнительность; Добросовестное отношение к работе.","Место работы г. Нижний Новгород ЖК Смарт-Сити; Иногородним предоставляется общежитие; Заработная выплачивается 2 раза в месяц, вовремя. Оплата почасовая.",Трудолюбие и исполнительность.,-
Маляр-штукатур,"Приготовление растворов из сухих строительных смесей на цементной, гипсовой и других основах; Сплошное выравнивание поверхностей; Оконопачивание коробок и мест примыканий крупнопанельных перегородок; Механизированное нанесение раствора на стены и иные поверхности, выполнение финишной штукатурной отделки; Грунтование поверхностей кистями, валиками, краскопультами с ручным приводом, механизированным инструментом и агрегатами высокого давления; Необходимо следить за сохранностью покрасочных материалов и инструментов, не допускать повышенного расхода, самостоятельно осуществлять переноску материалов и инструментов на объекте.","Образование среднее специальное; Опыт работы от 1 года; Знание технологии отделочных работ; Знание видов и свойств отделочных материалов; Аккуратность, порядочность, исполнительность; Добросовестное отношение к работе.","Место работы г. Нижний Новгород ЖК Смарт-Сити; Иногородним предоставляется общежитие; Заработная выплачивается 2 раза в месяц, вовремя. Оплата согласно расценок по объему выполненных работ, высокая",Трудолюбие и исполнительность,-
Шеф-повар,"Приготовление блюд из сухих и свежих продуктов, использование различных технологий приготовления (жарка, варка, запекание, тушение и т.д.); Составление меню, учет сезонности продуктов, определение необходимости закупки продуктов; Соблюдение требований по гигиене и безопасности при работе на кухне; Обучение персонала работе с кухонным оборудованием; Контроль качества приготовления блюд и выражение рекомендаций по корректировке рецептов.","Образование - не менее среднего профессионального, желательно в сфере общественного питания; Опыт работы на аналогичной должности не менее 2 лет; Знание рецептур, технологий приготовления блюд; Навыки работы с кухонным оборудованием; Внимательность, ответственность, пунктуальность; Готовность работать в ночные смены и выходные.","Место работы г. Нижний Новгород ресторан ""Повар и Повар""; Общежитие не предоставляется; Заработная плата выплачивается раз в месяц, вовремя. Работа посменно, в течение 7 дней в неделю.",Творческий подход и умение экспериментировать в кулинарии,-
Столяр,"Изготовление изделий из древесины (дверей, окон, мебели и т.д.) в соответствии с чертежами и техническим заданием; Обработка дерева, использование столярных инструментов, приспособлений и машин (пил, фрезеров, веретенок, отшлифовочного и отрезного инструмента); Осуществление монтажа изготовленных конструкций на объекте, сборка мебели; Контроль качества производимых изделий.","Образование среднее профессиональное в области деревообработки; Опыт работы на аналогичной должности не менее 3 лет; Знание столярных инструментов, умение работать на станках, знание технологий изготовления изделий из дерева; Аккуратность, внимательность, исполнительность; Добросовестное отношение к работе.","Место работы г. Нижний Новгород, Деревообрабатывающий комбинат; Иногородним предоставляется общежитие; Оплата согласно тарификации, выплачивается раз в месяц, вовремя.",Точность и внимательность,-
Арматурщик,Установка арматуры в бетонные конструкции,"Опыт работы на строительной площадке, знание технологии армирования бетонных конструкций","График работы сменный, оплата труда по договоренности","Опыт работы, знание технологии армирования, умение работать в команде","Работа на строительных площадках, очистных сооружениях"
Строитель,Проектирование зданий и сооружений,"Высшее образование в области строительства, знание норм и правил строительства","График работы с понедельника по пятницу с 9:00 до 18:00, оплата труда по договоренности","Знание программ проектирования, опыт работы в сфере строительства, умение работать в команде",Работа в офисе на компьютере с программами проектирования
Арматурщик,Изготовление изделий из металла методом гибки арматурной стали на станках с ЧПУ. Сборка и установка сеток и плоских изделий из металла.,,,,
Слесарь по ремонту зданий,"Ремонт и обслуживание зданий, замена и ремонт дверей и окон, производство работы по сантехнике, малярным работам, замена и ремонт полов.","Опыт работы на аналогичной должности от 1 года, знание основных материалов для ремонта зданий, наличие инструментов и оборудования для проведения работ.","Официальное оформление сотрудничества, полный социальный пакет, оплата труда по результатам собеседования.","Умение работать инструментами и оборудованием для ремонта зданий, знание техники безопасности при проведении ремонтных работ.","Работа в команде, необходимость приезжать на объекты, опыт нужен в ремонте зданий."
Монтажник металлоконструкций,"Монтаж и разбор металлоконструкций, сваривание металла, проведение монтажных работ.","Опыт работы на аналогичной должности от 2 лет, наличие квалификационного аттестата сварщика, знание конструкций из металла и сборки.","График работы сменный, оплата труда по результатам собеседования, официальное оформление по ТК РФ.","Умение работать инструментами и оборудованием для монтажа металлоконструкций, знание техники безопасности при проведении монтажных работ.","Работа в команде, необходимость приезжать на объекты, опыт нужен в монтаже металлоконструкций."
Арматурщик,Вязка арматуры.,,,,
Строительный инженер,"Контроль за качеством производимых работ по укладке арматуры и соответствие нормам и требованиям безопасности. Участие в проектировании укладки арматуры, планирование и расчет смет. Координация работы бригады арматурщиков и технического персонала.","Высшее образование в области строительства. Хорошее знание нормативных документов в области строительства, опыт работы на аналогичной должности не менее 5 лет.","Официальное трудоустройство. График работы 5/2. Компенсация проезда, питания и мобильной связи.","Навыки владения программами автоматизации проектирования, глубокое знание нормативных актов в области армирования, способность управлять персоналом, инициативность и стрессоустойчивость.",
Архитектор,Разработка и проектирование конструкций из оцинкованной арматуры на основе технических заданий и программ автоматизированного проектирования. Контроль за соблюдением технологических требований по укладке арматуры.,Высшее образование в области архитектуры или строительства. Знание нормативных документов в области строительства и опыт работы на аналогичной должности не менее 3 лет.,,"Навыки владения программами автоматизации проектирования, понимание технологических особенностей укладки арматуры, умение работать в команде и уделять внимание деталям.",
Арматурщик,Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов.,"Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках",,,
Строитель,Выполнение работ по сборке и монтажу металлических конструкций и каркасов.,Выполнение металлообработки и резки конструкций на ручных и электромеханических станках.,,,
Арматурщик,Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов.,"Работа на ручных, электромеханических и электрических станках для гнутья и резки арматурной стали, выполнение сварочных работ.",,,
Каменщик,"Выставление углов, кирпичных столбов и прочих конструкций из камня. Кладка кирпичей и камней, подготовка растворов и прочих манипуляций с камнем","Опыт работы на аналогичных должностях не менее 2 лет, профильное образование","Оклад + премии, социальный пакет","Опыт работы с камнем, умение читать чертежи","Работа на улице, в любых погодных условиях."
Архитектор,"Проектирование зданий и сооружений, разработка проектной документации, отслеживание сроков и качества выполнения проектов","Высшее образование по профилю, опыт работы от 3 лет",Оклад + дополнительный бонус от выполнения проекта в срок,Уверенное владение Автокадом и другими программами для проектирования,"Работа в офисе, возможны выезды на строительные площадки для контроля выполнения проектов."
